lender_id,country_code,uid,occupation,loan_count,member_since_date
matt,US,matt,Entrepreneur,137,1/1/2006
hope,US,hope,NA,2,1/1/2006
jeevan,US,jeevan,consultant of some kind,11,1/1/2006
stephen6473,US,stephen6473,NA,13,1/1/2006
stian,US,stian,student,17,1/1/2006
scott4672,CA,scott4672,Teacher/Administrator,8,1/1/2006
johanna,US,johanna,library intern,151,1/1/2006
nicholas,US,nicholas,NA,32,1/1/2006
jeff1667,GB,jeff1667,Freight Forwarder,74,1/1/2006
valrozycki,IN,valrozycki,Aspiring Social Entrepreneur,0,1/1/2006
mauricio6174,US,mauricio6174,Engineer,40,4/25/2006
tammy4974,US,tammy4974,NA,20,4/30/2006
marina7960,US,marina7960,NA,4,5/5/2006
jumbocraft,US,jumbocraft,NA,15,6/6/2006
john7492,US,john7492,Professor,41,6/20/2006
karen8400,US,karen8400,NA,5,7/3/2006
kmf,US,kmf,Spirited Strategist,13,7/13/2006
anna3462,US,anna3462,Digital/TV,22,7/22/2006
eric1269,US,eric1269,Software Engineer,2,7/26/2006
j23k,US,j23k,NA,34,11/27/2006
barb4410,US,barb4410,NA,9,11/29/2006
michele2892,US,michele2892,student,1,11/29/2006
robert5950,US,robert5950,retired,15,11/29/2006
rosie7405,NA,rosie7405,NA,0,11/29/2006
peggy3905,US,peggy3905,nurse-midwife,1,11/30/2006
carol7228,US,carol7228,Healthcare,21,11/30/2006
marci6511,US,marci6511,writer,1,11/30/2006
patricia3499,US,patricia3499,student,1,12/1/2006
david13987601,US,david13987601,Retired Minister,3,12/2/2006
jessica5838,US,jessica5838,Financial Services,10,12/2/2006
mark4130,US,mark4130,Firefighter,5,12/2/2006
alvin3678,CA,alvin3678,NA,3,12/3/2006
sara7365,US,sara7365,Architectural Lighting Designer,14,12/3/2006
chantelle1406,CA,chantelle1406,teacher,4,9/17/2007
william2282,US,william2282,student,2,9/17/2007
gbaguidi3536,NA,gbaguidi3536,IT Professional,0,9/17/2007
hpshin,US,hpshin,Systems Analyst,0,9/17/2007
ohrhatorahmensgroup,US,ohrhatorahmensgroup,Mens Group,23,9/17/2007
tetsuo1881,TH,tetsuo1881,office worker,3,9/17/2007
derek9090,US,derek9090,Human Resources Generalist,22,9/17/2007
josh4492,US,josh4492,Entrepreneur,2,9/17/2007
eden3885,NA,eden3885,Sales Manager,0,9/17/2007
terri6630,CA,terri6630,NA,2,9/18/2007
robert6767,NA,robert6767,unemployed vet,0,9/18/2007
debra8833,NA,debra8833,Refractive Surgery Coordinator,2,9/18/2007
k00kaburra,US,k00kaburra,Student,395,9/18/2007
danilo1026,NA,danilo1026,Webdeveloper,0,9/19/2007
kim7324,NA,kim7324,Manager,0,9/19/2007
james7918,US,james7918,Advisor,2,9/19/2007
marco6386,NA,marco6386,translator,0,9/19/2007
sheryl5086,NA,sheryl5086,NA,2,9/19/2007
lynda2317,US,lynda2317,NA,10,9/19/2007
