"","INSTNM","CITY","STABBR","PREDDEG","HIGHDEG","CONTROL","region","UGDS","UG","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","place"
"1","Alabama A & M University","Normal","AL",3,4,1,"EAST",4051,NA,18888,7182,12774,"West"
"2","University of Alabama at Birmingham","Birmingham","AL",3,4,1,"EAST",11200,NA,19990,7206,16398,"West"
"3","University of Alabama in Huntsville","Huntsville","AL",3,4,1,"EAST",5525,NA,20306,9192,21506,"West"
"4","Alabama State University","Montgomery","AL",3,4,1,"EAST",5354,NA,17400,8720,15656,"West"
"5","The University of Alabama","Tuscaloosa","AL",3,4,1,"EAST",28692,NA,26717,9450,23950,"West"
"6","Auburn University at Montgomery","Montgomery","AL",3,4,1,"EAST",4322,NA,16556,8750,24950,"West"
"7","Auburn University","Auburn University","AL",3,4,1,"EAST",19761,NA,23788,9852,26364,"West"
"8","Jacksonville State University","Jacksonville","AL",3,4,1,"EAST",7195,NA,19202,7092,13884,"West"
"9","University of West Alabama","Livingston","AL",3,4,1,"EAST",1988,NA,17959,7660,14170,"West"
"10","University of Montevallo","Montevallo","AL",3,4,1,"EAST",2610,NA,20209,10000,19690,"West"
"11","University of North Alabama","Florence","AL",3,4,1,"EAST",5536,NA,15058,7078,12670,"West"
"12","University of South Alabama","Mobile","AL",3,4,1,"EAST",11048,NA,17125,6948,13596,"West"
"13","Troy University","Troy","AL",3,4,1,"EAST",16208,NA,16877,7276,13612,"West"
"14","University of Alaska Anchorage","Anchorage","AK",3,4,1,"WEST",13116,NA,13180,5147,15206,"West"
"15","University of Alaska Fairbanks","Fairbanks","AK",3,4,1,"WEST",5729,NA,15035,4984,15560,"West"
"16","University of Alaska Southeast","Juneau","AK",3,4,1,"WEST",1488,NA,16409,5693,16269,"West"
"17","Arizona State University-Tempe","Tempe","AZ",3,4,1,"WEST",38480,NA,21960,9861,23654,"West"
"18","University of Arizona","Tucson","AZ",3,4,1,"WEST",31399,NA,23905,10391,27383,"West"
"19","Northern Arizona University","Flagstaff","AZ",3,4,1,"WEST",22011,NA,22771,9738,22093,"West"
"20","University of Arkansas at Little Rock","Little Rock","AR",3,4,1,"EAST",8504,NA,19894,7094,16871,"West"
"21","University of Arkansas","Fayetteville","AR",3,4,1,"EAST",20776,NA,19917,7818,19074,"West"
"22","University of Arkansas at Pine Bluff","Pine Bluff","AR",3,4,1,"EAST",2503,NA,15414,5938,11638,"West"
"23","Arkansas State University-Main Campus","Jonesboro","AR",3,4,1,"EAST",9325,NA,18809,7510,13120,"West"
"24","Arkansas Tech University","Russellville","AR",3,4,1,"EAST",8734,NA,16126,5598,10374,"West"
"25","University of Central Arkansas","Conway","AR",3,4,1,"EAST",9261,NA,17899,7595,13340,"West"
"26","Henderson State University","Arkadelphia","AR",3,4,1,"EAST",3190,NA,18033,7580,13700,"West"
"27","Southern Arkansas University Main Campus","Magnolia","AR",3,4,1,"EAST",2640,NA,17738,7466,10616,"West"
"28","California Polytechnic State University-San Luis Obispo","San Luis Obispo","CA",3,4,1,"WEST",18664,NA,23867,8724,19884,"West"
"29","California State University-Bakersfield","Bakersfield","CA",3,4,1,"WEST",7226,NA,18061,6775,17935,"West"
"30","California State University-Stanislaus","Turlock","CA",3,4,1,"WEST",7751,NA,17161,6491,17651,"West"
"31","California State University-San Bernardino","San Bernardino","CA",3,4,1,"WEST",15887,NA,17030,6550,17710,"West"
"32","California State Polytechnic University-Pomona","Pomona","CA",3,4,1,"WEST",20857,NA,19402,6350,17510,"West"
"33","California State University-Chico","Chico","CA",3,4,1,"WEST",15106,NA,22926,6972,18132,"West"
"34","California State University-Dominguez Hills","Carson","CA",3,4,1,"WEST",11894,NA,12957,6100,17260,"West"
"35","California State University-Fresno","Fresno","CA",3,4,1,"WEST",19911,NA,16377,6287,17447,"West"
"36","California State University-Fullerton","Fullerton","CA",3,4,1,"WEST",33000,NA,16663,6186,17346,"West"
"37","California State University-East Bay","Hayward","CA",3,4,1,"WEST",12079,NA,20676,6550,17710,"West"
"38","California State University-Long Beach","Long Beach","CA",3,4,1,"WEST",30440,NA,18085,6240,17400,"West"
"39","California State University-Los Angeles","Los Angeles","CA",3,4,1,"WEST",19525,NA,14747,6344,17504,"West"
"40","California State University-Northridge","Northridge","CA",3,4,1,"WEST",33581,NA,20899,6525,17685,"West"
"41","California State University-Sacramento","Sacramento","CA",3,4,1,"WEST",25991,NA,19380,6628,17788,"West"
"42","University of California-Berkeley","Berkeley","CA",3,4,1,"WEST",25951,NA,32715,12864,35742,"West"
"43","University of California-Davis","Davis","CA",3,4,1,"WEST",26483,NA,31803,13895,36773,"West"
"44","University of California-Irvine","Irvine","CA",3,4,1,"WEST",23517,NA,28980,13149,36027,"West"
"45","University of California-Los Angeles","Los Angeles","CA",3,4,1,"WEST",28667,NA,31474,12697,35575,"West"
"46","University of California-Riverside","Riverside","CA",3,4,1,"WEST",18612,NA,29787,12960,35838,"West"
"47","University of California-San Diego","La Jolla","CA",3,4,1,"WEST",23792,NA,29751,13271,36149,"West"
"48","University of California-Santa Barbara","Santa Barbara","CA",3,4,1,"WEST",19362,NA,31913,13746,36624,"West"
"49","University of California-Santa Cruz","Santa Cruz","CA",3,4,1,"WEST",15695,NA,33208,13397,36275,"West"
"50","California Maritime Academy","Vallejo","CA",3,4,1,"WEST",1044,NA,22223,6536,17696,"West"
"51","Humboldt State University","Arcata","CA",3,4,1,"WEST",7748,NA,23113,7144,18304,"West"
"52","San Diego State University","San Diego","CA",3,4,1,"WEST",26625,NA,20252,6766,17926,"West"
"53","San Francisco State University","San Francisco","CA",3,4,1,"WEST",25271,NA,22267,6450,17610,"West"
"54","San Jose State University","San Jose","CA",3,4,1,"WEST",25723,NA,21160,7343,18503,"West"
"55","Sonoma State University","Rohnert Park","CA",3,4,1,"WEST",8321,NA,23675,7234,18394,"West"
"56","Adams State University","Alamosa","CO",3,4,1,"WEST",2227,NA,17759,7449,18081,"West"
"57","University of Colorado Denver","Denver","CO",3,4,1,"WEST",10470,NA,18822,7933,22057,"West"
"58","University of Colorado Colorado Springs","Colorado Springs","CO",3,4,1,"WEST",8888,NA,16707,7024,18437,"West"
"59","University of Colorado Boulder","Boulder","CO",3,4,1,"WEST",25461,NA,27854,10347,32115,"West"
"60","Colorado School of Mines","Golden","CO",3,4,1,"WEST",4197,NA,29091,16485,32415,"West"
"61","Colorado State University-Fort Collins","Fort Collins","CO",3,4,1,"WEST",22482,NA,21823,9313,25166,"West"
"62","Colorado Mesa University","Grand Junction","CO",3,4,1,"WEST",8733,NA,18077,6725,16748,"West"
"63","Metropolitan State University of Denver","Denver","CO",3,4,1,"WEST",21696,NA,14034,5744,17837,"West"
"64","University of Northern Colorado","Greeley","CO",3,4,1,"WEST",9525,NA,19105,6968,18507,"West"
"65","Colorado State University-Pueblo","Pueblo","CO",3,4,1,"WEST",4375,NA,18007,7327,17649,"West"
"66","Western State Colorado University","Gunnison","CO",3,4,1,"WEST",1956,NA,18875,7343,17284,"West"
"67","Central Connecticut State University","New Britain","CT",3,4,1,"EAST",9512,NA,20372,8706,20211,"West"
"68","University of Connecticut","Storrs","CT",3,4,1,"EAST",17684,NA,25786,12022,30970,"West"
"69","Eastern Connecticut State University","Willimantic","CT",3,4,1,"EAST",4920,NA,22633,9376,20881,"West"
"70","Southern Connecticut State University","New Haven","CT",3,4,1,"EAST",8257,NA,18628,9020,20486,"West"
"71","Western Connecticut State University","Danbury","CT",3,4,1,"EAST",5184,NA,19446,8893,20398,"West"
"72","Delaware State University","Dover","DE",3,4,1,"EAST",3719,NA,20506,7336,15692,"West"
"73","University of Delaware","Newark","DE",3,4,1,"EAST",17729,NA,21748,12112,29932,"West"
"74","University of the District of Columbia","Washington","DC",3,4,1,"EAST",4487,NA,19873,5138,8778,"West"
"75","University of Central Florida","Orlando","FL",3,4,1,"EAST",50919,NA,19815,6317,22416,"West"
"76","Florida Agricultural and Mechanical University","Tallahassee","FL",3,4,1,"EAST",8825,NA,19191,5785,17725,"West"
"77","Florida Atlantic University","Boca Raton","FL",3,4,1,"EAST",24685,NA,19131,4790,17234,"West"
"78","Florida International University","Miami","FL",3,4,1,"EAST",38234,NA,18426,6496,18895,"West"
"79","Florida State University","Tallahassee","FL",3,4,1,"EAST",32086,NA,20774,6507,21673,"West"
"80","University of Florida","Gainesville","FL",3,4,1,"EAST",32346,NA,20456,6263,28541,"West"
"81","University of North Florida","Jacksonville","FL",3,4,1,"EAST",14006,NA,19415,6353,20756,"West"
"82","University of South Florida-Main Campus","Tampa","FL",3,4,1,"EAST",30376,NA,19299,6410,17324,"West"
"83","The University of West Florida","Pensacola","FL",3,4,1,"EAST",9906,NA,18158,6357,19238,"West"
"84","Albany State University","Albany","GA",3,4,1,"EAST",3566,NA,19025,6024,18226,"West"
"85","Armstrong Atlantic State University","Savannah","GA",3,4,1,"EAST",6206,NA,19802,5085,14847,"West"
"86","Clayton State University","Morrow","GA",3,4,1,"EAST",6445,NA,17487,5153,14915,"West"
"87","Columbus State University","Columbus","GA",3,4,1,"EAST",6849,NA,17029,5514,15556,"West"
"88","Fort Valley State University","Fort Valley","GA",3,4,1,"EAST",2805,NA,19801,6438,18640,"West"
"89","Georgia Institute of Technology-Main Campus","Atlanta","GA",3,4,1,"EAST",13975,NA,21980,10650,29954,"West"
"90","Georgia Southwestern State University","Americus","GA",3,4,1,"EAST",2598,NA,17839,5035,14797,"West"
"91","Georgia College and State University","Milledgeville","GA",3,4,1,"EAST",5636,NA,23052,8790,26690,"West"
"92","Georgia Southern University","Statesboro","GA",3,4,1,"EAST",17103,NA,21513,6071,16137,"West"
"93","Georgia State University","Atlanta","GA",3,4,1,"EAST",24128,NA,23124,8368,22936,"West"
"94","University of Georgia","Athens","GA",3,4,1,"EAST",26120,NA,21162,10262,28472,"West"
"95","Kennesaw State University","Kennesaw","GA",3,4,1,"EAST",22211,NA,20630,5818,15898,"West"
"96","Savannah State University","Savannah","GA",3,4,1,"EAST",4462,NA,15531,5415,15176,"West"
"97","Southern Polytechnic State University","Marietta","GA",3,4,1,"EAST",5636,NA,16546,5732,16760,"West"
"98","Valdosta State University","Valdosta","GA",3,4,1,"EAST",9634,NA,20958,5889,16814,"West"
"99","University of West Georgia","Carrollton","GA",3,4,1,"EAST",9777,NA,18879,5837,15903,"West"
"100","University of Hawaii at Hilo","Hilo","HI",3,4,1,"WEST",3335,NA,15284,6536,18296,"West"
"101","University of Hawaii at Manoa","Honolulu","HI",3,4,1,"WEST",14097,NA,18491,9904,27472,"West"
"102","Boise State University","Boise","ID",3,4,1,"WEST",16557,NA,18227,6292,18892,"West"
"103","Idaho State University","Pocatello","ID",3,4,1,"WEST",9337,NA,18077,6344,18676,"West"
"104","University of Idaho","Moscow","ID",3,4,1,"WEST",8539,NA,19700,6524,19600,"West"
"105","Chicago State University","Chicago","IL",3,4,1,"EAST",4321,NA,18472,9032,15424,"West"
"106","Eastern Illinois University","Charleston","IL",3,4,1,"EAST",8255,NA,23346,11144,28124,"West"
"107","University of Illinois at Chicago","Chicago","IL",3,4,1,"EAST",16601,NA,25248,13410,25800,"West"
"108","University of Illinois at Urbana-Champaign","Champaign","IL",3,4,1,"EAST",31663,NA,28564,14750,29132,"West"
"109","Illinois State University","Normal","IL",3,4,1,"EAST",17667,NA,25416,13010,20450,"West"
"110","Northern Illinois University","Dekalb","IL",3,4,1,"EAST",15782,NA,27621,12976,22072,"West"
"111","Northeastern Illinois University","Chicago","IL",3,4,1,"EAST",8827,NA,22273,8460,15348,"West"
"112","University of Illinois at Springfield","Springfield","IL",3,4,1,"EAST",2959,NA,21385,9178,16498,"West"
"113","Southern Illinois University-Carbondale","Carbondale","IL",3,4,1,"EAST",13220,NA,24234,12093,24716,"West"
"114","Southern Illinois University-Edwardsville","Edwardsville","IL",3,4,1,"EAST",11179,NA,21137,9666,20610,"West"
"115","Western Illinois University","Macomb","IL",3,4,1,"EAST",9873,NA,24375,11767,15969,"West"
"116","Ball State University","Muncie","IN",3,4,1,"EAST",15985,NA,21101,9160,24124,"West"
"117","Indiana University-Purdue University-Fort Wayne","Fort Wayne","IN",3,4,1,"EAST",9795,NA,18837,7013,16845,"West"
"118","Indiana University-Purdue University-Indianapolis","Indianapolis","IN",3,4,1,"EAST",21569,NA,20846,8756,29571,"West"
"119","University of Southern Indiana","Evansville","IN",3,4,1,"EAST",8764,NA,17996,6698,15553,"West"
"120","Indiana State University","Terre Haute","IN",3,4,1,"EAST",10173,NA,19549,8256,17992,"West"
"121","Indiana University-Kokomo","Kokomo","IN",3,4,1,"EAST",2708,NA,15874,6675,17778,"West"
"122","Indiana University-South Bend","South Bend","IN",3,4,1,"EAST",5538,NA,17377,6816,17778,"West"
"123","Indiana University-Bloomington","Bloomington","IN",3,4,1,"EAST",31984,NA,23043,10209,32350,"West"
"124","Indiana University-Northwest","Gary","IN",3,4,1,"EAST",4764,NA,18092,6739,17778,"West"
"125","Indiana University-Southeast","New Albany","IN",3,4,1,"EAST",5699,NA,16753,6700,17778,"West"
"126","Indiana University-East","Richmond","IN",3,4,1,"EAST",3132,NA,15334,6639,17778,"West"
"127","Purdue University-Calumet Campus","Hammond","IN",3,4,1,"EAST",7466,NA,16727,6624,14966,"West"
"128","Purdue University-North Central Campus","Westville","IN",3,4,1,"EAST",3514,NA,13713,7186,17105,"West"
"129","Iowa State University","Ames","IA",3,4,1,"WEST",27112,NA,18820,7726,20278,"West"
"130","University of Iowa","Iowa City","IA",3,4,1,"WEST",21314,NA,21832,8061,26931,"West"
"131","University of Northern Iowa","Cedar Falls","IA",3,4,1,"WEST",10170,NA,19233,7685,17181,"West"
"132","Emporia State University","Emporia","KS",3,4,1,"WEST",3724,NA,15612,5614,17388,"West"
"133","Fort Hays State University","Hays","KS",3,4,1,"WEST",11064,NA,15395,4358,12821,"West"
"134","University of Kansas","Lawrence","KS",3,4,1,"WEST",18731,NA,21971,10107,24873,"West"
