"","institution","city","state","yearly","tuition_in","tuition_out","region"
"1","University of Alaska Anchorage","Anchorage","AK",13180,5147,15206,"NA"
"2","University of Alaska Fairbanks","Fairbanks","AK",15035,4984,15560,"NA"
"3","University of Alaska Southeast","Juneau","AK",16409,5693,16269,"NA"
"4","Alabama A & M University","Normal","AL",18888,7182,12774,"NA"
"5","University of Alabama at Birmingham","Birmingham","AL",19990,7206,16398,"NA"
"6","University of Alabama in Huntsville","Huntsville","AL",20306,9192,21506,"NA"
"7","Alabama State University","Montgomery","AL",17400,8720,15656,"NA"
"8","The University of Alabama","Tuscaloosa","AL",26717,9450,23950,"NA"
"9","Auburn University at Montgomery","Montgomery","AL",16556,8750,24950,"NA"
"10","Auburn University","Auburn University","AL",23788,9852,26364,"NA"
"11","Jacksonville State University","Jacksonville","AL",19202,7092,13884,"NA"
"12","University of West Alabama","Livingston","AL",17959,7660,14170,"NA"
"13","University of Montevallo","Montevallo","AL",20209,10000,19690,"NA"
"14","University of North Alabama","Florence","AL",15058,7078,12670,"NA"
"15","University of South Alabama","Mobile","AL",17125,6948,13596,"NA"
"16","Troy University","Troy","AL",16877,7276,13612,"NA"
"17","University of Arkansas at Little Rock","Little Rock","AR",19894,7094,16871,"NA"
"18","University of Arkansas","Fayetteville","AR",19917,7818,19074,"NA"
"19","University of Arkansas at Pine Bluff","Pine Bluff","AR",15414,5938,11638,"NA"
"20","Arkansas State University-Main Campus","Jonesboro","AR",18809,7510,13120,"NA"
"21","Arkansas Tech University","Russellville","AR",16126,5598,10374,"NA"
"22","University of Central Arkansas","Conway","AR",17899,7595,13340,"NA"
"23","Henderson State University","Arkadelphia","AR",18033,7580,13700,"NA"
"24","Southern Arkansas University Main Campus","Magnolia","AR",17738,7466,10616,"NA"
"25","Arizona State University-Tempe","Tempe","AZ",21960,9861,23654,"NA"
"26","University of Arizona","Tucson","AZ",23905,10391,27383,"NA"
"27","Northern Arizona University","Flagstaff","AZ",22771,9738,22093,"NA"
"28","Arizona State University-West","Glendale","AZ",20269,9545,22497,"NA"
"29","Arizona State University-Polytechnic","Mesa","AZ",21256,9545,22497,"NA"
"30","Arizona State University-Downtown Phoenix","Phoenix","AZ",22909,9861,23654,"NA"
"31","Arizona State University-Skysong","Scottsdale","AZ",19666,7866,11209,"NA"
"32","California Polytechnic State University-San Luis Obispo","San Luis Obispo","CA",23867,8724,19884,"NA"
"33","California State University-Bakersfield","Bakersfield","CA",18061,6775,17935,"NA"
"34","California State University-Stanislaus","Turlock","CA",17161,6491,17651,"NA"
"35","California State University-San Bernardino","San Bernardino","CA",17030,6550,17710,"NA"
"36","California State Polytechnic University-Pomona","Pomona","CA",19402,6350,17510,"NA"
"37","California State University-Chico","Chico","CA",22926,6972,18132,"NA"
"38","California State University-Dominguez Hills","Carson","CA",12957,6100,17260,"NA"
"39","California State University-Fresno","Fresno","CA",16377,6287,17447,"NA"
"40","California State University-Fullerton","Fullerton","CA",16663,6186,17346,"NA"
"41","California State University-East Bay","Hayward","CA",20676,6550,17710,"NA"
"42","California State University-Long Beach","Long Beach","CA",18085,6240,17400,"NA"
"43","California State University-Los Angeles","Los Angeles","CA",14747,6344,17504,"NA"
"44","California State University-Northridge","Northridge","CA",20899,6525,17685,"NA"
"45","California State University-Sacramento","Sacramento","CA",19380,6628,17788,"NA"
"46","University of California-Berkeley","Berkeley","CA",32715,12864,35742,"NA"
"47","University of California-Davis","Davis","CA",31803,13895,36773,"NA"
"48","University of California-Irvine","Irvine","CA",28980,13149,36027,"NA"
"49","University of California-Los Angeles","Los Angeles","CA",31474,12697,35575,"NA"
"50","University of California-Riverside","Riverside","CA",29787,12960,35838,"NA"
"51","University of California-San Diego","La Jolla","CA",29751,13271,36149,"NA"
"52","University of California-Santa Barbara","Santa Barbara","CA",31913,13746,36624,"NA"
"53","University of California-Santa Cruz","Santa Cruz","CA",33208,13397,36275,"NA"
"54","California Maritime Academy","Vallejo","CA",22223,6536,17696,"NA"
"55","Humboldt State University","Arcata","CA",23113,7144,18304,"NA"
"56","San Diego State University","San Diego","CA",20252,6766,17926,"NA"
"57","San Francisco State University","San Francisco","CA",22267,6450,17610,"NA"
"58","San Jose State University","San Jose","CA",21160,7343,18503,"NA"
"59","Sonoma State University","Rohnert Park","CA",23675,7234,18394,"NA"
"60","California State University-San Marcos","San Marcos","CA",20386,6649,17809,"NA"
"61","California State University-Monterey Bay","Seaside","CA",18479,5963,17123,"NA"
"62","California State University-Channel Islands","Camarillo","CA",22570,6471,17631,"NA"
